net,length_um
u_mem.mem\[7\]\[1\],5.96
u_read.wr_gray_sync2\[2\],5.96
u_sync_rd2wr.gray_sync1\[2\],5.96
u_mem._0083_,5.945
u_mem._0160_,5.84
u_mem._0189_,5.84
u_mem._0192_,5.84
u_mem._0226_,5.84
u_mem._0397_,5.84
u_mem._0428_,5.84
u_mem._0465_,5.84
u_mem.mem\[0\]\[3\],5.84
u_sync_wr2rd._13_,5.84
u_mem._0342_,5.825
u_mem.mem\[6\]\[7\],5.82
u_sync_wr2rd._01_,5.805
u_mem._0193_,5.8
u_mem._0334_,5.8
u_mem._0070_,5.765
dout[0],5.75
dout[1],5.75
dout[4],5.75
dout[5],5.75
dout[6],5.75
dout[7],5.75
full,5.75
u_mem._0377_,5.725
u_mem._0307_,5.72
u_read._23_,5.72
u_write._26_,5.68
u_mem.mem\[10\]\[4\],5.62
u_sync_wr2rd._06_,5.62
u_sync_wr2rd._09_,5.62
u_write._38_,5.62
u_mem._0005_,5.58
u_mem._0031_,5.58
u_mem._0287_,5.52
u_mem._0028_,5.505
u_read._01_,5.505
u_mem.mem\[13\]\[4\],5.5
u_mem._0370_,5.46
u_mem._0119_,5.425
u_mem._0120_,5.425
din[2],5.41
din[6],5.41
u_read.rd_ptr_gray\[4\],5.4
u_mem._0313_,5.38
u_write._36_,5.38
u_mem._0171_,5.34
u_mem._0413_,5.34
u_mem._0457_,5.34
u_mem._0473_,5.34
u_sync_rd2wr._18_,5.34
u_sync_rd2wr._09_,5.325
u_mem._0067_,5.315
u_mem._0427_,5.28
u_mem._0429_,5.28
u_write._24_,5.28
u_mem._0179_,5.26
u_mem._0472_,5.26
u_mem._0483_,5.26
u_mem.mem\[12\]\[4\],5.26
u_mem._0144_,5.22
u_mem._0036_,5.185
u_mem._0098_,5.16
u_mem.mem\[1\]\[4\],5.16
u_write._31_,5.16
u_mem._0118_,5.145
u_read._40_,5.135
u_mem._0086_,5.095
u_mem._0132_,5.095
u_mem.mem\[11\]\[7\],5.02
u_mem._0329_,5
u_sync_wr2rd.gray_sync1\[4\],4.94
u_mem._0211_,4.92
u_mem._0229_,4.92
u_read._05_,4.92
u_sync_rd2wr._19_,4.92
u_mem._0283_,4.905
u_mem._0438_,4.9
u_mem._0314_,4.885
u_mem._0140_,4.88
u_read._39_,4.88
u_mem._0127_,4.845
u_mem._0013_,4.82
u_mem._0208_,4.8
u_mem._0238_,4.8
u_mem._0327_,4.8
net16,4.8
net18,4.8
u_mem._0075_,4.775
u_write._25_,4.76
din[0],4.73
din[1],4.73
din[4],4.73
empty,4.73
u_mem._0293_,4.635
u_mem._0308_,4.58
u_sync_rd2wr.gray_sync1\[0\],4.58
u_mem._0453_,4.56
u_sync_wr2rd.gray_in\[0\],4.56
u_mem._0023_,4.535
u_mem._0033_,4.525
u_mem._0080_,4.505
u_mem.mem\[14\]\[7\],4.46
u_mem.mem\[1\]\[1\],4.46
u_mem.mem\[4\]\[2\],4.46
u_read._16_,4.46
u_sync_rd2wr._15_,4.46
u_sync_wr2rd._10_,4.46
u_sync_wr2rd._16_,4.46
u_write._06_,4.46
net15,4.46
u_mem._0321_,4.445
u_mem._0346_,4.425
u_sync_wr2rd._02_,4.425
u_mem._0197_,4.42
din[3],4.39
din[7],4.39
u_mem._0405_,4.365
u_mem.dout\[6\],4.36
u_mem._0217_,4.34
u_mem._0225_,4.34
u_mem._0260_,4.34
u_read._42_,4.34
u_mem._0025_,4.325
u_sync_wr2rd._00_,4.325
u_write._03_,4.295
u_sync_wr2rd._08_,4.265
u_mem._0096_,4.24
u_mem._0111_,4.24
u_mem.mem\[8\]\[3\],4.24
u_write._40_,4.2
u_write._33_,4.14
u_sync_rd2wr._16_,4.1
u_write._28_,4.1
u_mem._0068_,4.095
u_mem._0069_,4.065
u_sync_rd2wr.gray_sync2\[1\],4.02
u_mem._0380_,3.9
u_mem._0475_,3.88
u_mem.dout\[4\],3.88
u_mem._0030_,3.805
u_mem._0032_,3.8
u_mem._0052_,3.8
u_mem._0224_,3.78
u_mem.mem\[13\]\[3\],3.76
u_mem._0278_,3.66
u_sync_wr2rd._11_,3.56
u_mem._0216_,3.54
u_mem._0218_,3.54
u_mem._0464_,3.54
net17,3.54
u_read._04_,3.525
u_mem._0479_,3.44
net13,3.44
net14,3.44
u_mem._0332_,3.42
u_mem._0374_,3.42
u_read._33_,3.42
u_write._23_,3.42
u_mem._0074_,3.405
u_mem._0126_,3.405
u_mem._0077_,3.32
u_mem._0298_,3.32
u_mem._0130_,3.165
u_mem._0246_,3.085
u_mem._0442_,3.08
u_mem._0471_,3.08
u_mem._0398_,3.055
u_mem._0062_,3.045
u_mem._0091_,3.045
u_mem._0133_,3.045
u_read._00_,3.045
u_sync_rd2wr._04_,3.005
u_write._00_,3.005
u_read._06_,3
u_mem._0024_,2.98
u_mem._0198_,2.96
u_mem._0275_,2.96
u_read.wr_gray_sync2\[3\],2.96
u_write._11_,2.96
u_write._27_,2.96
u_mem._0060_,2.945
u_mem._0076_,2.945
u_mem._0093_,2.945
u_mem._0100_,2.945
u_mem._0087_,2.86
u_mem._0272_,2.83
u_read._02_,2.785
u_mem._0386_,2.74
u_mem._0055_,2.715
u_mem._0064_,2.715
u_mem._0129_,2.715
u_mem._0042_,2.705
u_read._17_,2.64
u_sync_wr2rd._12_,2.64
u_sync_wr2rd._14_,2.64
u_mem._0150_,2.62
u_mem._0230_,2.62
u_read._21_,2.62
u_write._05_,2.62
u_mem._0081_,2.545
u_sync_rd2wr._00_,2.545
u_mem._0184_,2.52
u_mem._0213_,2.52
u_mem._0259_,2.52
u_mem._0466_,2.52
u_mem.dout\[2\],2.52
u_mem.dout\[5\],2.52
u_write._37_,2.52
u_mem._0173_,2.5
u_mem._0178_,2.5
u_mem._0361_,2.5
u_mem._0376_,2.5
u_mem._0448_,2.5
u_mem._0053_,2.485
u_mem._0134_,2.485
u_mem._0010_,2.42
u_mem._0022_,2.42
u_mem._0048_,2.42
u_mem._0056_,2.42
u_mem._0059_,2.42
u_mem._0090_,2.42
u_mem._0117_,2.42
u_mem._0123_,2.42
u_sync_rd2wr._05_,2.42
u_sync_wr2rd.gray_sync1\[0\],2.38
u_mem._0019_,2.375
u_mem._0065_,2.375
u_mem._0035_,2.325
u_mem._0078_,2.325
u_mem._0124_,2.325
u_mem._0328_,2.3
u_sync_wr2rd.gray_sync1\[1\],2.3
u_mem._0006_,2.255
u_mem._0152_,2.16
u_mem._0474_,2.16
u_mem._0482_,2.16
u_read._08_,2.16
u_sync_rd2wr._11_,2.16
u_sync_rd2wr._17_,2.16
u_read._07_,2.145
u_mem._0016_,2.135
u_mem._0063_,2.125
u_mem._0088_,2.125
u_mem._0002_,2.085
u_mem._0018_,2.085
u_mem._0026_,2.085
u_mem._0121_,2.085
u_write._08_,2.085
u_mem._0221_,2.06
u_mem._0476_,2.06
u_read._24_,2.06
u_read._28_,2.06
u_mem._0452_,2.04
u_mem._0462_,2.04
u_mem._0003_,2.025
u_mem._0009_,2.025
u_mem._0012_,2.025
u_mem._0015_,2.025
u_mem._0029_,2.025
u_mem._0037_,2.025
u_mem._0041_,2.025
u_mem._0071_,2.025
u_mem._0084_,2.025
u_mem._0094_,2.025
u_mem._0095_,2.025
u_mem._0101_,2.025
u_mem._0103_,2.025
u_mem._0106_,2.025
u_mem._0107_,2.025
u_mem._0109_,2.025
u_mem._0115_,2.025
u_mem._0122_,2.025
u_mem._0128_,2.025
u_mem._0135_,2.025
u_read._03_,2.025
u_sync_rd2wr._01_,2.025
u_sync_rd2wr._07_,2.025
u_sync_wr2rd._03_,1.915
u_mem._0008_,1.865
u_mem._0027_,1.865
u_mem._0054_,1.865
u_mem._0110_,1.865
u_sync_rd2wr._02_,1.865
u_mem._0261_,1.84
u_mem._0350_,1.84
u_mem._0371_,1.84
